skills,field,years_of_experience,recommended_course
"AWS, Machine Learning, Power BI",Cybersecurity,8,Cybersecurity Fundamentals
"AWS, Machine Learning, Angular, Power BI, SQL, GCP",Web Development,8,React for Beginners
"Matplotlib, Deep Learning, AWS, TensorFlow, Tableau, Azure",Game Development,4,Game Design with Unity
"Docker, Python, Pandas, SQL, Flask",Cybersecurity,0,Cybersecurity Fundamentals
"CSS, Node.js",Cybersecurity,4,Cybersecurity Fundamentals
"R, Kubernetes, Java, AWS",DevOps,3,Linux for Developers
"Django, Kubernetes",Business Intelligence,1,JavaScript Masterclass
"Linux, JavaScript, Azure, Machine Learning, NumPy, Flask",Cloud Computing,8,Kubernetes Hands-On
"AWS, Deep Learning, Java, Tableau",AI/ML,6,Data Science Bootcamp
"Power BI, NumPy, Java, Python",DevOps,3,Linux for Developers
"Kubernetes, JavaScript, Tableau, Machine Learning, AWS",AR/VR,5,AR/VR Development
"NumPy, Azure, Scikit-learn, CSS, GCP, Tableau",Cloud Computing,4,Docker Essentials
"Deep Learning, C++, HTML",Cybersecurity,8,Cybersecurity Fundamentals
"Flask, Java",AI/ML,4,Pandas & NumPy Crash Course
"R, HTML, Matplotlib, Linux",DevOps,0,Docker Essentials
"AWS, Tableau, R, Java, Angular",IoT,0,IoT Development with Raspberry Pi
"Kubernetes, Deep Learning, React, Keras, Docker, Matplotlib",Game Development,5,Game Design with Unity
"Docker, AWS",Web Development,8,Full Stack Web Development
"Pandas, C++, Docker",Game Development,2,Game Design with Unity
"NumPy, Flask, C++, Django, JavaScript",Cloud Computing,10,Docker Essentials
"Django, React, CSS, Power BI",IoT,8,IoT Development with Raspberry Pi
"NumPy, Kubernetes, GCP, Machine Learning, Python",Software Engineering,10,IoT Development with Raspberry Pi
"JavaScript, Git, Machine Learning, Scikit-learn, Tableau",IoT,3,IoT Development with Raspberry Pi
"Deep Learning, Git",Web Development,6,Full Stack Web Development
"Node.js, NumPy, Azure, React, Python",Game Development,5,Game Design with Unity
"Docker, Pandas, PyTorch, Keras, Java, React",AR/VR,3,AR/VR Development
"Pandas, C++, Power BI, SQL",Cybersecurity,8,Cybersecurity Fundamentals
"Python, Machine Learning, C++, CSS, Deep Learning, Tableau",Cloud Computing,10,Docker Essentials
"CSS, NumPy",AI/ML,10,Intro to Machine Learning
"Python, PyTorch, AWS",Web Development,0,Full Stack Web Development
"Java, HTML",DevOps,8,DevOps Engineering
"Kubernetes, JavaScript, Node.js, TensorFlow, Flask, PyTorch",AR/VR,6,AR/VR Development
"Angular, Python, Flask, Deep Learning, SQL",Game Development,0,Game Design with Unity
"C++, GCP, Azure, Matplotlib, Java, AWS",Software Engineering,5,Linux for Developers
"React, Docker",AR/VR,4,AR/VR Development
"C++, React, GCP, PyTorch, Flask, Kubernetes",AR/VR,0,AR/VR Development
"HTML, NumPy, JavaScript, R, Azure",AI/ML,8,AI for Everyone
"React, Deep Learning, Git",AR/VR,5,AR/VR Development
"NumPy, Linux",Game Development,2,Game Design with Unity
"Java, Python",IoT,9,IoT Development with Raspberry Pi
"NumPy, Power BI, C++, React, CSS",Web Development,3,React for Beginners
"R, HTML, Tableau, JavaScript, Scikit-learn, Node.js",Cloud Computing,1,Cloud Architecture with AWS
"Linux, Java, Power BI, GCP, NumPy, PyTorch",AR/VR,8,AR/VR Development
"React, Deep Learning",Software Engineering,4,Deep Learning Specialization
"Azure, Matplotlib, Keras",Web Development,5,Full Stack Web Development
"SQL, React, Scikit-learn",Software Engineering,3,Kubernetes Hands-On
"PyTorch, Angular, Scikit-learn, Deep Learning, React",IoT,2,IoT Development with Raspberry Pi
"Matplotlib, Django, Docker, Angular, TensorFlow, HTML",Data Science,5,Deep Learning Specialization
"AWS, Azure, Machine Learning",AI/ML,4,AI for Everyone
"Deep Learning, Azure, Angular",Business Intelligence,7,Advanced Python Programming
"GCP, React, Keras, NumPy",Software Engineering,2,JavaScript Masterclass
"Kubernetes, Node.js",Cybersecurity,8,Cybersecurity Fundamentals
"Node.js, Azure, Git",AR/VR,1,AR/VR Development
"Git, Python",Game Development,10,Game Design with Unity
"Kubernetes, Matplotlib",IoT,6,IoT Development with Raspberry Pi
"CSS, Tableau, Java, NumPy, Node.js, Linux",Game Development,7,Game Design with Unity
"Django, Flask, JavaScript",IoT,4,IoT Development with Raspberry Pi
"PyTorch, Pandas, C++",AI/ML,5,Pandas & NumPy Crash Course
"Deep Learning, JavaScript",IoT,10,IoT Development with Raspberry Pi
"GCP, Pandas, R",Business Intelligence,2,React for Beginners
"Power BI, Matplotlib, Deep Learning, Linux, R, Azure",Business Intelligence,5,Full Stack Web Development
"GCP, Keras, JavaScript",Software Engineering,4,IoT Development with Raspberry Pi
"Java, Deep Learning, CSS",Game Development,5,Game Design with Unity
"Keras, Tableau, PyTorch, Git, Java",Data Science,10,AI for Everyone
"AWS, Power BI",Game Development,10,Game Design with Unity
"Kubernetes, Azure, Node.js, Matplotlib",Game Development,9,Game Design with Unity
"Flask, Machine Learning, Django",IoT,10,IoT Development with Raspberry Pi
"Pandas, Node.js",AI/ML,3,Pandas & NumPy Crash Course
"Django, Kubernetes, Linux, Keras, Docker",Business Intelligence,9,Intro to Machine Learning
"Git, R, PyTorch, HTML, JavaScript, C++",Game Development,10,Game Design with Unity
"CSS, R, HTML, Django",IoT,1,IoT Development with Raspberry Pi
"TensorFlow, Docker, Angular",Software Engineering,7,Docker Essentials
"CSS, Matplotlib, HTML, Machine Learning, Kubernetes",AI/ML,0,Deep Learning Specialization
"R, Matplotlib",IoT,2,IoT Development with Raspberry Pi
"Machine Learning, Pandas, Java",IoT,2,IoT Development with Raspberry Pi
"HTML, Node.js",Cybersecurity,8,Cybersecurity Fundamentals
"Scikit-learn, Matplotlib, Machine Learning, Python, Git",AR/VR,4,AR/VR Development
"CSS, PyTorch",IoT,7,IoT Development with Raspberry Pi
"HTML, JavaScript, Kubernetes, TensorFlow, Scikit-learn",Cybersecurity,9,Cybersecurity Fundamentals
"Scikit-learn, Deep Learning, Pandas",DevOps,2,Linux for Developers
"Tableau, PyTorch, Scikit-learn, Matplotlib",Software Engineering,3,Mastering SQL
"R, SQL, Python, CSS, Pandas",Game Development,10,Game Design with Unity
"Kubernetes, R, Scikit-learn, SQL, HTML",Business Intelligence,9,JavaScript Masterclass
"Git, Docker",Game Development,8,Game Design with Unity
"C++, Keras",AR/VR,2,AR/VR Development
"NumPy, Kubernetes, Python, GCP, Deep Learning, Machine Learning",AI/ML,8,Data Science Bootcamp
"Linux, Java, AWS, Pandas",AI/ML,3,Data Science Bootcamp
"Django, Matplotlib, Docker, Azure, Tableau",IoT,1,IoT Development with Raspberry Pi
"R, Node.js, Keras, GCP, JavaScript",Software Engineering,4,JavaScript Masterclass
"TensorFlow, Node.js, CSS, Python, AWS, Azure",Data Science,9,Pandas & NumPy Crash Course
"Pandas, Python",AI/ML,10,Deep Learning Specialization
"TensorFlow, Django, SQL, R",AI/ML,10,Pandas & NumPy Crash Course
"Node.js, Linux, NumPy, TensorFlow",IoT,5,IoT Development with Raspberry Pi
"Node.js, Deep Learning, Flask, GCP, CSS, TensorFlow",Game Development,8,Game Design with Unity
"HTML, Django, NumPy, Keras, Node.js",DevOps,9,Docker Essentials
"Azure, R, Linux, Deep Learning, SQL",Cloud Computing,7,Kubernetes Hands-On
"SQL, CSS, Pandas",AI/ML,5,Pandas & NumPy Crash Course
"AWS, Deep Learning, Power BI, Java, HTML, Flask",AR/VR,0,AR/VR Development
"Kubernetes, R",Business Intelligence,9,Power BI Data Analysis
"C++, Node.js",Cloud Computing,5,Cloud Architecture with AWS
"Java, Azure, Flask, Git, Scikit-learn, Machine Learning",Game Development,4,Game Design with Unity
"Java, GCP, Kubernetes, HTML, Machine Learning, Keras",Business Intelligence,0,Data Science Bootcamp
"React, CSS, Java, Docker, Scikit-learn, Pandas",Game Development,3,Game Design with Unity
"HTML, Deep Learning, Java, Django, JavaScript, Machine Learning",Data Science,2,Intro to Machine Learning
"GCP, Flask, Django, Deep Learning",AI/ML,6,Pandas & NumPy Crash Course
"Pandas, Python, Azure",Software Engineering,1,Pandas & NumPy Crash Course
"Azure, Kubernetes, NumPy, Tableau",IoT,5,IoT Development with Raspberry Pi
"Power BI, Kubernetes, Node.js, JavaScript",IoT,3,IoT Development with Raspberry Pi
"Tableau, Flask, Matplotlib, Python, Node.js",Cybersecurity,6,Cybersecurity Fundamentals
"SQL, NumPy, C++, Pandas, React, Angular",Software Engineering,8,Game Design with Unity
"Kubernetes, Docker, Matplotlib, Node.js, AWS, PyTorch",AI/ML,9,Data Science Bootcamp
"GCP, Angular, Power BI",Business Intelligence,10,Advanced Python Programming
"Linux, Python, Keras, SQL, Node.js, C++",AI/ML,10,Deep Learning Specialization
"Docker, Angular, TensorFlow",Web Development,8,JavaScript Masterclass
"AWS, Kubernetes",DevOps,3,Docker Essentials
"Flask, Deep Learning",Web Development,1,JavaScript Masterclass
"Keras, Angular, Django",Cloud Computing,9,Docker Essentials
"Power BI, Azure, Deep Learning",Cloud Computing,7,Kubernetes Hands-On
"JavaScript, Azure, Linux",DevOps,3,DevOps Engineering
"Kubernetes, JavaScript, Scikit-learn",Web Development,2,Full Stack Web Development
"Tableau, C++",AR/VR,10,AR/VR Development
"Scikit-learn, Python, GCP, Linux, NumPy",Data Science,7,AI for Everyone
"Angular, Keras, Git, Matplotlib, Node.js, Tableau",Cybersecurity,8,Cybersecurity Fundamentals
"Flask, JavaScript, GCP, Matplotlib",Cybersecurity,0,Cybersecurity Fundamentals
"Docker, TensorFlow, Keras, NumPy, Java, Pandas",Web Development,6,JavaScript Masterclass
"PyTorch, SQL, AWS",Game Development,7,Game Design with Unity
"AWS, Python, Deep Learning, CSS",AI/ML,9,Intro to Machine Learning
"Django, Scikit-learn, Linux, Node.js",Cybersecurity,8,Cybersecurity Fundamentals
"JavaScript, Node.js, Keras, Power BI",IoT,5,IoT Development with Raspberry Pi
"HTML, Keras, TensorFlow, CSS",AI/ML,5,AI for Everyone
"Node.js, PyTorch, HTML, Matplotlib, R",IoT,10,IoT Development with Raspberry Pi
"Kubernetes, SQL, Azure",DevOps,3,Linux for Developers
"Linux, Flask, CSS, R, Docker",Cybersecurity,7,Cybersecurity Fundamentals
"HTML, TensorFlow",Business Intelligence,2,Linux for Developers
"Azure, Angular, Docker, Keras, React, Node.js",Game Development,9,Game Design with Unity
"Flask, SQL",Cybersecurity,0,Cybersecurity Fundamentals
"Kubernetes, Node.js, Keras",AR/VR,1,AR/VR Development
"Azure, Angular, Node.js, Django, NumPy",Game Development,4,Game Design with Unity
"Python, TensorFlow, SQL, Django",AR/VR,9,AR/VR Development
"Matplotlib, Machine Learning, NumPy",Cybersecurity,4,Cybersecurity Fundamentals
"Angular, Deep Learning, Pandas, Keras",Business Intelligence,1,Mastering SQL
"React, PyTorch, Machine Learning, R, HTML, Git",Web Development,6,JavaScript Masterclass
"Matplotlib, Flask, Linux, C++, Git, HTML",Web Development,3,React for Beginners
"Machine Learning, React, AWS, Node.js",IoT,10,IoT Development with Raspberry Pi
"Node.js, Git, PyTorch, GCP, Linux",Web Development,9,JavaScript Masterclass
"TensorFlow, HTML, Linux, Python, R",Cloud Computing,10,Docker Essentials
"CSS, HTML",AI/ML,1,Intro to Machine Learning
"Tableau, Git",Business Intelligence,8,Full Stack Web Development
"GCP, Flask",Game Development,1,Game Design with Unity
"Node.js, Scikit-learn",Cybersecurity,1,Cybersecurity Fundamentals
"React, JavaScript, Azure, PyTorch, Machine Learning",Cybersecurity,2,Cybersecurity Fundamentals
"Kubernetes, HTML, Python, Java, Deep Learning, Django",Web Development,7,React for Beginners
"Tableau, Node.js, NumPy, PyTorch, R, AWS",Game Development,2,Game Design with Unity
"Scikit-learn, PyTorch, Machine Learning, Azure, Git, Matplotlib",AI/ML,8,Pandas & NumPy Crash Course
"Tableau, Django, Keras, NumPy",Cloud Computing,1,Docker Essentials
"Django, TensorFlow, Node.js, R",DevOps,0,DevOps Engineering
"Kubernetes, GCP, Linux, R, Django, React",Business Intelligence,8,Intro to Machine Learning
"Power BI, GCP, Keras, React, Python",AI/ML,4,Pandas & NumPy Crash Course
"Docker, Python, NumPy",Web Development,3,React for Beginners
"TensorFlow, Flask, JavaScript, HTML, AWS, Azure",AR/VR,6,AR/VR Development
"JavaScript, Node.js, C++, TensorFlow, Machine Learning",Cloud Computing,8,Kubernetes Hands-On
"React, Machine Learning, Azure, NumPy",DevOps,6,DevOps Engineering
"HTML, R",DevOps,1,Linux for Developers
"Scikit-learn, PyTorch, Node.js, AWS, Keras",Cloud Computing,5,Cloud Architecture with AWS
"Java, NumPy, Python",Cybersecurity,1,Cybersecurity Fundamentals
"Node.js, R, AWS, PyTorch",Data Science,3,Intro to Machine Learning
"Python, Keras, CSS",Web Development,6,React for Beginners
"Django, PyTorch, AWS, Docker, Java",Web Development,1,Full Stack Web Development
"Node.js, GCP",AI/ML,1,Pandas & NumPy Crash Course
"HTML, CSS, Git, Kubernetes, Node.js",AI/ML,0,Intro to Machine Learning
"Flask, GCP, PyTorch",Cloud Computing,0,Cloud Architecture with AWS
"Azure, GCP, SQL, Pandas, Deep Learning",Cloud Computing,7,Docker Essentials
"Tableau, Angular, HTML, Machine Learning",Data Science,8,Pandas & NumPy Crash Course
"Node.js, Keras",AR/VR,4,AR/VR Development
"Django, Git, Java",AR/VR,3,AR/VR Development
"JavaScript, Machine Learning",AI/ML,5,Intro to Machine Learning
"Docker, Node.js, Matplotlib",Software Engineering,6,DevOps Engineering
"Java, Matplotlib",Business Intelligence,9,Cybersecurity Fundamentals
"GCP, C++, JavaScript, HTML",Business Intelligence,1,JavaScript Masterclass
"Tableau, GCP, Machine Learning, Java",Data Science,5,Deep Learning Specialization
"Docker, SQL, R, Keras, JavaScript, Angular",Game Development,10,Game Design with Unity
"Docker, Git, PyTorch, Azure",Cloud Computing,0,Kubernetes Hands-On
"Django, Azure, R, Node.js, Git",Data Science,7,Data Science Bootcamp
"React, NumPy, AWS, Keras, CSS, Matplotlib",Cybersecurity,8,Cybersecurity Fundamentals
"Angular, Azure, PyTorch, Node.js",IoT,8,IoT Development with Raspberry Pi
"C++, Pandas, R",Business Intelligence,4,Game Design with Unity
"Django, PyTorch, Python, GCP, Machine Learning, Pandas",AI/ML,2,Intro to Machine Learning
"Linux, Django, GCP, Scikit-learn, JavaScript, Angular",Software Engineering,10,Pandas & NumPy Crash Course
"CSS, Pandas, Deep Learning, Keras, GCP",Game Development,2,Game Design with Unity
"React, Angular, TensorFlow, Machine Learning, Tableau, SQL",Software Engineering,8,Cloud Architecture with AWS
"Kubernetes, Power BI",Cybersecurity,2,Cybersecurity Fundamentals
"CSS, SQL",Business Intelligence,3,Deep Learning Specialization
"Matplotlib, Machine Learning",AI/ML,10,Data Science Bootcamp
"Scikit-learn, AWS, Matplotlib, Node.js, Java, Django",Cloud Computing,9,Kubernetes Hands-On
"Python, Tableau",Cloud Computing,10,Docker Essentials
"PyTorch, Docker",AR/VR,0,AR/VR Development
"NumPy, Azure, Power BI, Git",AI/ML,5,Intro to Machine Learning
"Node.js, Pandas, Java, Azure, C++, React",Software Engineering,3,Linux for Developers
"SQL, Azure",Cloud Computing,8,Docker Essentials
"CSS, Pandas, Deep Learning",Cloud Computing,9,Kubernetes Hands-On
"NumPy, Azure, TensorFlow",Software Engineering,10,AR/VR Development
"Deep Learning, PyTorch, AWS, TensorFlow",Software Engineering,2,React for Beginners
"Flask, Pandas, Angular, Deep Learning, HTML, NumPy",IoT,7,IoT Development with Raspberry Pi
"Git, Angular, NumPy, Linux",Web Development,6,JavaScript Masterclass
"Kubernetes, Azure, Angular, Scikit-learn, JavaScript",IoT,8,IoT Development with Raspberry Pi
"Flask, GCP, NumPy",DevOps,5,Docker Essentials
"Power BI, Flask, Python, Azure, Java",DevOps,9,DevOps Engineering
"R, Git, React, Python, Tableau, JavaScript",Cloud Computing,5,Cloud Architecture with AWS
"Tableau, NumPy, Pandas, Matplotlib",IoT,2,IoT Development with Raspberry Pi
"Java, PyTorch",Web Development,2,Full Stack Web Development
"Django, Git, Matplotlib, JavaScript",Cloud Computing,4,Docker Essentials
"Matplotlib, Flask",IoT,3,IoT Development with Raspberry Pi
"Azure, Angular",Business Intelligence,2,Docker Essentials
"Kubernetes, Tableau, SQL, Scikit-learn, Machine Learning, React",Data Science,9,Data Science Bootcamp
"GCP, Java",Web Development,5,React for Beginners
"Tableau, Linux, SQL, GCP, JavaScript",AR/VR,9,AR/VR Development
"Machine Learning, GCP",AR/VR,6,AR/VR Development
"React, Pandas",Data Science,5,Pandas & NumPy Crash Course
"R, Angular, Pandas, AWS, JavaScript, Power BI",Data Science,10,Data Science Bootcamp
"GCP, Scikit-learn, Matplotlib, Pandas, C++",Cloud Computing,6,Docker Essentials
"R, Angular, C++, Keras, Matplotlib",Data Science,8,Data Science Bootcamp
"C++, Flask, Pandas, TensorFlow",Cybersecurity,2,Cybersecurity Fundamentals
"NumPy, CSS, Keras, Flask, Machine Learning",IoT,3,IoT Development with Raspberry Pi
"Scikit-learn, Azure, Pandas, JavaScript, Linux, C++",DevOps,6,Docker Essentials
"C++, SQL, Deep Learning, TensorFlow, Linux, Django",Web Development,3,React for Beginners
"Scikit-learn, Machine Learning, Python, GCP",DevOps,2,Docker Essentials
"Kubernetes, Docker, PyTorch, Scikit-learn, R, Git",Data Science,3,Deep Learning Specialization
"R, GCP, Azure, Linux",Software Engineering,1,Full Stack Web Development
"Power BI, Scikit-learn, Tableau",Cybersecurity,4,Cybersecurity Fundamentals
"Angular, AWS",Software Engineering,4,Advanced Python Programming
"Python, Angular, CSS, Azure, NumPy",Cloud Computing,3,Kubernetes Hands-On
"GCP, Node.js, NumPy, Keras, Scikit-learn, Azure",Cybersecurity,10,Cybersecurity Fundamentals
"Flask, Matplotlib",AR/VR,8,AR/VR Development
"Node.js, HTML",Data Science,4,Deep Learning Specialization
"Node.js, Java, PyTorch, Machine Learning, Python, C++",AI/ML,10,AI for Everyone
"Linux, SQL, Python, React",AR/VR,6,AR/VR Development
"Flask, Pandas, AWS",Software Engineering,5,Docker Essentials
"NumPy, C++, HTML, CSS, Pandas, PyTorch",Game Development,0,Game Design with Unity
"JavaScript, Tableau",Game Development,4,Game Design with Unity
"Keras, Flask, Azure, HTML",Data Science,5,AI for Everyone
"Machine Learning, React, JavaScript, Pandas",DevOps,0,Linux for Developers
"Git, Flask, Kubernetes, Python",Game Development,4,Game Design with Unity
"R, Angular, Git",AI/ML,10,Deep Learning Specialization
"Azure, Flask",Game Development,10,Game Design with Unity
"Linux, Machine Learning, Deep Learning, JavaScript, TensorFlow, Power BI",IoT,2,IoT Development with Raspberry Pi
"React, Tableau, Scikit-learn, Angular, PyTorch",Game Development,2,Game Design with Unity
"Machine Learning, R, Matplotlib",Game Development,10,Game Design with Unity
"Linux, R, React",Game Development,2,Game Design with Unity
"Tableau, GCP, R, Machine Learning, Matplotlib",Cybersecurity,5,Cybersecurity Fundamentals
"NumPy, Power BI",Software Engineering,2,Kubernetes Hands-On
"Azure, Python, GCP",Web Development,6,React for Beginners
"PyTorch, Azure, Tableau, Kubernetes",AR/VR,4,AR/VR Development
"GCP, CSS, SQL",Cybersecurity,2,Cybersecurity Fundamentals
"GCP, Scikit-learn",IoT,4,IoT Development with Raspberry Pi
"Matplotlib, Scikit-learn, JavaScript, Tableau, Git, Kubernetes",AR/VR,0,AR/VR Development
"C++, AWS, GCP, Keras",Cybersecurity,8,Cybersecurity Fundamentals
"Keras, AWS, Machine Learning, Django, HTML, Flask",Business Intelligence,7,Cybersecurity Fundamentals
"CSS, JavaScript, Java",AI/ML,0,AI for Everyone
"JavaScript, Azure, Deep Learning, CSS, GCP",Cloud Computing,1,Cloud Architecture with AWS
"Linux, Scikit-learn, Keras, AWS, Angular",Business Intelligence,3,Power BI Data Analysis
"GCP, Java, Scikit-learn, Azure, Kubernetes",AI/ML,5,Data Science Bootcamp
"Power BI, Azure, Matplotlib, Scikit-learn, NumPy, Pandas",AR/VR,0,AR/VR Development
"SQL, PyTorch, Tableau, Kubernetes, Java, JavaScript",Game Development,8,Game Design with Unity
"Azure, Java, NumPy, Flask, Pandas",AR/VR,0,AR/VR Development
"React, PyTorch, Flask",DevOps,4,Docker Essentials
"TensorFlow, React, Scikit-learn",Data Science,8,Deep Learning Specialization
"Kubernetes, Machine Learning, PyTorch, C++, Azure",Game Development,1,Game Design with Unity
"GCP, Matplotlib, Power BI",Game Development,2,Game Design with Unity
"TensorFlow, Angular, PyTorch, Python, HTML",Business Intelligence,9,Data Science Bootcamp
"C++, Node.js, Angular, AWS, Machine Learning",Cybersecurity,1,Cybersecurity Fundamentals
"SQL, AWS",Business Intelligence,10,IoT Development with Raspberry Pi
"Pandas, AWS",AI/ML,8,Pandas & NumPy Crash Course
"Flask, NumPy, Java",Cybersecurity,5,Cybersecurity Fundamentals
"Linux, Deep Learning, Power BI, R, HTML, Git",Cybersecurity,0,Cybersecurity Fundamentals
"React, Azure, GCP, Power BI, PyTorch",DevOps,10,DevOps Engineering
"Git, R",Cloud Computing,0,Kubernetes Hands-On
"Python, PyTorch, Keras, Linux",Business Intelligence,8,Intro to Machine Learning
